second,count,habit,mean_volume_cm3_s,conc,dNdd,bin_mid,LWC,IWC,w,pres,alt,temp,pass_n
2022-07-30 17:15:20,1.0,Co,4030.593846100206,0.0002481023983519,2.4810239835193228e-05,330.0,0.5254368,0.28523678,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,0.4750430292598966,HPC,4346.242761758655,0.0001092996998326,1.09299699832615e-05,330.0,0.535933825,0.3091439425,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,2.0,CP,4336.959914926258,0.0004611525214048,4.611525214048483e-05,340.0,0.46397345,0.3979606049999999,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,4.0,Co,3985.52916164011,0.0010036308449325,0.0001003630844932,340.0,0.5083825275,0.288749645,6.517375,462.27375000000006,6520.211,261.69015,8
2022-07-30 17:15:20,0.8812392426850258,CP,4288.230028241694,0.0002055018590143,2.055018590143965e-05,350.0,0.48252755,0.27070364,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,Co,3459.821954604093,0.0002890322141199,2.8903221411994016e-05,350.0,0.44680667,0.08062822,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,0.1187607573149741,HPC,4288.230028241694,2.769458646873701e-05,2.7694586468737014e-06,350.0,0.48252755,0.27070364,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,Co,3836.34835954116,0.0002606645451039,2.606645451039289e-05,370.0,0.5758313,0.30302253,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,1.0,CP,4044.58059481887,0.0002472444241266,2.472444241266957e-05,380.0,0.45971555,0.44027478,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,Co,3933.4711028206825,0.0002542283834964,2.5422838349642445e-05,380.0,0.5603206,0.17329761,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,2.8812392426850257,CP,3975.113678044699,0.0007248193324881,7.248193324881883e-05,390.0,0.4833192333333334,0.3611998166666666,6.0455000000000005,462.0390333333333,6520.349333333333,261.6388666666667,8
2022-07-30 17:15:20,1.0,Co,3752.201274711482,0.0002665102234092,2.665102234092954e-05,390.0,0.48944217,0.33150786,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,0.1187607573149741,HPC,3884.909731180921,3.056975979693451e-05,3.0569759796934505e-06,390.0,0.5129869,0.40375382,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,1.0,CP,3933.4711028206825,0.0002542283834964,2.5422838349642445e-05,400.0,0.5243022,0.307083,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,1.0,CP,3836.34835954116,0.0002606645451039,2.606645451039289e-05,420.0,0.49041724,0.2807811,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,1.0,CP,3849.6610480806103,0.0002597631291457,2.59763129145769e-05,430.0,0.46873486,0.2899831,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,CP,3836.34835954116,0.0002606645451039,2.606645451039289e-05,450.0,0.54106414,0.39191663,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:20,1.0,CP,3411.0920679195287,0.0002931612457502,2.9316124575022497e-05,460.0,0.485879,0.31442696,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,CP,3459.821954604093,0.0002890322141199,2.8903221411994016e-05,510.0,0.4470351,0.756737,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,CP,3313.6322945504,0.0003017836353311,3.0178363533111384e-05,530.0,0.46187553,0.23607329,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,1.0,WD,4564.768934137582,0.0002190691389703,2.190691389703232e-05,850.0,0.5905378,0.20478179,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:21,2.7624784853700515,CP,4454.645922112146,0.0006201342449368,6.20134244936854e-05,300.0,0.59436979,0.1975242706666666,6.439166766666666,462.44926,6519.733666666667,261.7005033333333,8
2022-07-30 17:15:21,1.0,Co,4370.077243423942,0.0002288289072017,2.288289072017645e-05,300.0,0.7891178,0.13528472,5.7165003,462.51862,6518.945,261.65967,8
2022-07-30 17:15:21,1.0,Dif,4706.237031379628,0.0002124839852587,2.124839852587814e-05,300.0,0.52150553,0.36275,5.7165003,462.51862,6518.945,261.65967,8
2022-07-30 17:15:21,0.2375215146299483,HPC,4493.310636132936,5.28611382262157e-05,5.28611382262157e-06,300.0,0.646603975,0.286046015,6.25850015,462.4666,6519.5365,261.690295,8
2022-07-30 17:15:21,1.8812392426850255,CP,4517.322049558342,0.0004164501051832,4.1645010518321455e-05,310.0,0.48608468,0.4126392749999999,6.25850015,462.4666,6519.5365,261.690295,8
2022-07-30 17:15:21,0.1187607573149741,HPC,4472.4755482894925,2.65536962768627e-05,2.65536962768627e-06,310.0,0.44836986,0.56363845,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:21,1.0,Co,3841.826148065004,0.000260292881942,2.6029288194200716e-05,320.0,0.7275505,0.18034154,5.7165003,462.51862,6518.945,261.65967,8
2022-07-30 17:15:21,1.0,Co,4234.577912742179,0.0002361510451823,2.3615104518231228e-05,340.0,0.3840031,0.41379446,6.8005,462.41458,6520.128,261.72092,8
2022-07-30 17:15:21,0.8812392426850258,CP,4234.577912742179,0.0002081055682157,2.081055682157382e-05,350.0,0.48542333,0.36475557,6.8005,462.41458,6520.128,261.72092,8
